run,event,pip_rec_px,pip_rec_py,pip_rec_pz,pip_lund_px,pip_lund_py,pip_lund_pz,theta_lund_deg,theta_rec_deg,pip_rec_vx,pip_rec_vy,pip_rec_vz,pip_lund_vx,pip_lund_vy,pip_lund_vz,rec_track_detector_list,rec_traj_detector_list,rec_scintillator_detector_component,rec_particle_pid_list
11,21,-0.635125,0.242831,0.863219,-0.635582,0.236341,0.884959,37.4612,38.2278,0.367219,0.846585,-1.15492,0,0,1.92412,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,211"
11,1460,0.22417,-0.591077,0.795045,0.245817,-0.580841,0.807632,37.9879,38.489,0.449869,0.209614,-0.756958,0,0,-4.16492,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:18,12:47","11,0,211"
11,229,0.523588,-0.341071,0.784188,0.592844,-0.364116,0.8734,38.5401,38.5496,1.20963,1.94153,0.729988,0,0,-4.36346,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:53","11,0,211"
11,3100,-0.627488,-0.358031,0.897342,-0.657566,-0.390758,0.988203,37.7413,38.8373,0.0378876,-0.0255127,-2.03377,0,0,3.31992,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:21,12:55","11,321,211"
11,4430,-0.472016,0.441545,0.812722,-0.52887,0.448513,0.872854,38.4657,38.4946,-0.972049,-1.09427,-2.00837,0,0,-9.53709,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,211,22,22"
11,1382,-0.470969,-0.526251,0.886323,-0.440474,-0.46004,0.970678,33.2709,38.5479,1.5061,-1.31199,10.2724,0,0,0.436038,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:22,12:56","11,0,211,22"
11,1365,0.444921,0.448762,0.798702,0.447427,0.456475,0.802154,38.5492,38.3511,-0.0920337,0.0647045,-1.47475,0,0,-0.91826,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:18,12:48","11,211,0,2112"
11,3502,-0.444038,0.501405,0.84032,-0.444845,0.489244,0.855981,37.6861,38.5558,0.856515,0.722901,-2.55455,0,0,-1.28363,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:49","11,0,211"
11,3614,-0.0667883,0.633391,0.792249,-0.103255,0.689779,0.873439,38.6083,38.7964,0.389358,0.0204995,-3.89531,0,0,1.50181,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:49","11,321,211,22"
11,3,-0.214528,0.703805,0.9146,-0.972315,2.7668,3.86666,37.1786,38.8158,9.50751,2.87769,-3.9875,0,0,-5.43686,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:17,12:43","11,45,211,2112,2112,22,2112,2112,22,22"
